ID,Ulasan,Kelas
1,Produknya lengkap. Pokoknya mantap,Positif
2,very good bukalapak is the best,Positif
3,Sangat memuaskan belanja di Bukalapak,Positif
4,good Apps memang bukalapak,Positif
5,Aplikasi ecommerce recomended,Positif
6,saya bisa belanja online diskon,Positif
7,masukan saya pengiriman barang berat tidak sesuai tolong di tinjau kembali pengiriman yang paling terlambat J&T expres estimasi 3 hari sampai ke tempat tujuan bisa 8 hari tolong di tinjau kembali. pengiriman di atas 10 kg kalau bisa di kirim lewat ekspedisi laut agar terjangkau biaya pengirimannya karena banyak pelanggan yg belanja berat diatas 10 kg sangat mahal harganya dan juga bisa membantu pelanggan pasti lebih maju lagi makasih,Positif
8,Alhamdulillah sebelum saya tau aplikasi BL saya ragu untuk melakukan transaksi ( beli melalui online ) tapi setelah saya mengetahui Bukalapak saya jadi meyakinkan diri untuk melakukan transaksi ( beli barang melali online tanpa ragu )dengan aman dan mudah sampai detik ini masih aman . semoga selalu bermanfaat untuk semua penguna aplikasi Bukalapak,Positif
9,mencari kebutuhan baik berupa barang maupun jasa lainnya menjadi mudah dengan hadirnya bukalapak. secara pribadi sy banyak tertolong dgn fasilitas yg disediakan BL sekalipun masih ada pelapak yg belum konsisten dgn barang lapaknya namun hal ini tentu saja ada terapi atau strategi khusus yg diupayakan BL dlm mengupayakan bisnis online akan tetap mempertahankan prinsip bahwa pembeli adalah raja. maju dan sukses selalu bukalapak,Positif
10,"belanja di buka lapak sangat mudah dan juga sanhat baik pelayanan nya.terima kasih buka lapak dengan adanya buka lapak Belanja pun sangat mudah, tidak perlu kita kesana kemari. cukup buka android kita tinggal cari deh apa yg kita inginkan di buka lapak semua ada jadi gak usah ragu lagi kita belanja di sini.ayo buruan install aplikasi nya dan dapatkan kemudahan dalam berbelanja online. tanpa menghamburkan uang dan tenaga kita bisa membeli keinginan kita. Indonesia semakin maju bersama BL",Positif
11,Sementara penilaian masih 3 bintang. Belum ada perbaikan yang signifikan untuk lama nya proses pencairan dana. Semoga kedepan ada perbaikan mengingat pencairan dana sangat penting untuk pengguna BL terutama seller dimana untuk pengembangan usaha nya sendiri. Terimakasih Bukalapak,Positif
12,Mohon untuk KODE PEMBAYARAN itu jgn besar besar biasanya cuma di tambahin 3 digit angka. Lah ini sampe 5 digit. bayar listrik cashbacknya 66ribu. tapi kode pembayarannya pas sy cek 79ribu dan blum di kembalikan utk kodenya. Mau untung malah buntung. Klo kode pembayarannya tidak di kembalikan namanya Penipuan. Klo sudah di kembalikan akan sy perbaiki bintangnya. Terimakasih,Positif
13,Aplikasi yg sangat membantu saya untuk berbelanja apa saja berkat aplikasi ini saya jadi tidak susah untuk mencari barang yang saya mau yang tadinya tidak ada menjadi ada. Terima kasih BUKALAPAK,Positif
14,Dear bukalapak tolong di perbaiki lg supya aplikasi nya agak lebih ringan saat dibuka menu2 nya. semenjak di update malah jadi lemot banget mau lihat barang di kranjang aja butuh waktu 2 menit loading nya signal full jaringan 4G tapi aplikasi nya yg lemot. tolong sangat ini mengganggu aktivitas jual beli,Positif
15,Alhamdulillah. Terimakasih BukaLapak. Terimakasih sudah mau mendengarkan keluh kesah kami dan memperbaiki hubungan kita yg sempet retak. Bintang 5 hak kalian juga sudah saya kembalikan. Sekali lagi terimakasih. We Love BukaLapak,Positif
16,Bukalapak selalu menjadi tempat jujugan saya yg utama kalo mau belanja melalui online krn siip mantap aman  bnyk promo diskon free ongkir dan cashback juga harga sangat2 bersaing dan ramah di kantong alias lbh murah drpd online shop laine,Positif
17,Saya ingin bukalapak berjaya dan sukses di bidang aplikasi online. Akan tetapi banyak keluhan dari setiap pengguna aplikasi. Tentang adanya DANA. termasuk saya mengeluhkan tentang adanya dana. Kami setiap pengguna aplikasi ini ingin kembalikan seperti semula tidak ingin SALDO nya di tetapkan di DANA. terkecuali pengguna nya ingin memindahkan saldonya sendiri. Terimaksih banyak kepada pihak bukalapak telah bekerja sama,Positif
18,admin bukalapak untuk unbind / ganti akun DANA di BUKALAPAK bagaimana ya? saya sudah buka FAQ untuk ganti nomor lain sesuai akun DANA yang aktif namun ID DANA masih belum terganti ? mohon untuk ditambahkan menu GANTI ID DANA / Logout ID DANA di BUKALAPAK apps. terimakasih. user bukalapak,Positif
19, mohon bantuan bagaimana cara menghapus Riwayat transaksi yang ada di aplikasi Bukalapak karena terlalu banyak jadi yang sudah ada transaksi nya jadi tambah banyak. mohon bantuannya agar user dapat menghapus sendiri riwayat transaksi seperti di email. terima kasih,Positif
20,Ok mantap tapi soal harga sangat sensitif kalau bisa harga tidak tercantum untuk ke depannya harga lebih baik akan di ketahui setelah buyer menanyakan langsung kepada seller. saya masih pertimbangkan kalau buka toko di BL. Harga habis-habisan saya gak bisa bersaing secara maksimal. selebihnya mantap,Positif
21,Sudah bagus sih jualan juga gampang. Fiturnya jg mempermudah pelapak. Opsi pengiriman jg banyak dibanding marketplace lain. Cuma 1 tolong dong BL ada live chat nya. Jadi kalau complain apa2 langsung bisa dijawab. Ga harus email dlu isi form trus tunggu balesan yg slow respone. Karna kalau ada masalah urgent jd cpt diatasi. Oiya sama agak lemot sih. kalau buka aplikasi suka sering eror apalagi mau upload produk susah. Dan kalau bisa pencairan dana ke transfer kita dipercepat dong. thx,Positif
22,"Enak versi yg sebelum nya.. Setelah di up date ke versi baru malah tampilan di ""FLASH DEAL"" tampilan awal tdk muncul lokasi pelapak nya harus di buka satu2.. Klo versi lama di ""FLASH DEAL"" tampilan awal sdh dapat ketahui lokasi pelapak nya.. tak tambah 1 bintang lg jd 2 ntar kalo di respon dgn berubahnya kembali mudah seperti sblm nya akan jd bintang 5",Positif
23, Tingkatkan lagi bukalapak ;) versi 3.3.4 menemukan bug yaitu tentang error pada saat mau menyimpan gambar di app BLnya om zaky ;) cuman koreksi sedikit si,Positif
24, Respon cepat. Barang terjamin. Banyak pilihan,Positif
25,Teruslah menjadi fokus utama kepada pelanggan,Positif
26,Bukalapak mantap Jiwa Berbelanja kini di mudahkan.. Berkat berjualan di bukalapak kini penghasilan Bersih ku 10jt-15jt perbulan .. Trimakasih bukalapak,Positif
27,On time,Positif
28,Ok Toko online yg verifikasi pembayarannya cepet,Positif
29,Bagus Sangat membantu para UKM.. terimakasih bukalapak,Positif
30, ini sangat memudahkan untuk mencari kebutuhan kita.,Positif
31,buka lapak yang saya hormati saya putus aja ikut serbaserbu dari tahun 2018  setiap hari saya ikut dan setiap kali saya selalu beli semua produk nya yang ditawakan sampai detik ini satu produkpun tidak ada yang saya dapatkan. bayangkan semua produk yang sudah saya beli dalam serbaserbu setiap hari  tapi tidak pernah dapat satupun. kemudian saya selalu mencoba ikut tepat waktu 1 detik setelah mulai sudah berhasil tapi gagal dapat juga semoga ada yang real dapat. komen yang pernah real dapat,Negatif
32,setelah update saya turun rating. karena beberapa hal ini 1. list data barang di buka mall tidak bisa tampil menu barang2 langsung force close 2. beberapa menu untuk transaksi barang selalu muncul notif  anda diharapkan login dulu padahal tidak pernah logout dr aplikasi 3. khawatir akun kena hack juga ini 4. la terus bagaimana?,Negatif
33,beli quota ga masuk2 njiir padahal udh sampai proses dibayar. mau kompalin ga kekirim2 ke customer service nya. padahal udh ss udh ada bukti bayar dll ttp ga bsa trus buat apa ada form buat kompalin. klo mw kirim kompalin ga bsa2. kan tolol belum lagi aplikasi dana nya. ga update. lemot sering lambat kalau pembayaran. sungguh MENGECEWAKAN.belum lagi aplikasi dana nya,Negatif
34,Halo Team Bukalapak tolonglah sayakenapa saya tidak bisa edit produktidak bisa edit variantsetiap mau edit dan upload selalu gagalmentaldan Hp jadi ngehank.sinyal Stabil 4G Telkomsel & sudah clearCache Juga. ini anehnya hanya terjadi pada lapak dagangan Samsung Galaxy S7 Edge Garansi Resmi SEIN saya sajasedangkan di lapak produk saya yang lain aman2 saja. semua normal.saya sudah telpon ke Costumer Care dan Lapor ke BukaBantuan masih belum solved!!Sudah saya isi formnyaMsh Blm Solved,Negatif
35,Kalau Bukalapak tidak segera berbenah tidak lama lagii pasti akan ditinggalkan pelapaknyadan customernya secara bertahap terus terang saya akan memindahkan lapak saya ke marketplace lain yang lbh nyaman dalam bertransaksi sebagai pelapak setelah sekian lama berkali2 dikecewakan dengan pelayanan admin BL yang sangat arogan sedangkan kerja team bukalapak sendrii tidak mau introspeksi  hari ini merupakan puncak kekecewaan saya mulai malam ini prepare bye bye dengan bukalapak,Negatif
36,Hi admin tadi saya topup saldo saya pilih pembayaran via Bri (Briva) saat saya mau melakukan tranfer via bri ternyata lagi ada gangguan jadi saya ubah metode pembayaran dari bri ke bca ternyata yang saya tranfer melalui bri sudah terkirim tapi metode pembayaran terlanjur sudah saya ubah menjadi BCA jadi sampe sekarang belum ada masuk ke akun dana BL saya,Negatif
37,Saya sangaaat kecewa dengan bukalapak. Pertama saya jual barang lalu penerima sudah konfirmasi tapi uang tdk langsung masuk ke bukadompet dan harus dikomplain dulu baru masuk. Kedua bukadompet saya tiba2 dibekukan tanpa ada pemberitahuan apapun. Saya tdk mengerti salah saya apa padahal saya mau cairkan uang itu karna sangat butuh sekali uangnya. Ketiga saya komplain di bukabantuan 4x mengenai bukadompet dibekukan tapi tidak ada satupun respon dari bukalapak. Tolong segera ditinjau,Negatif
38,nah gini dong min kan sama2 enak orang yg ikut serbu seru juga ga pada kesel kalo dananya dikembalikan dalam bntuk saldo buka dompet jgn di kembalikan dengan bentuk barang yg belum tentu semua orang suka ya sekalipun di ganti barang setidaknya para penyerbu punya hak untuk membatalkan barang pengganti saat serbuanya meleset jgn kaya kemarin dicancel malah di tolak sama lapak,Negatif
39,saya sangat kecewa dengan tanggung jawab bukalapak  saya di tipu pelapak 2jt rupiah. dan itu saya tidak tau kalo akum di hack. saya minta pertanggung jawaban bukalapak atas apa yg terjadi saya sudah lapor ke cs dan akun resmi di bukalapak. respon nya sangat tida jelas dan lelet akun di bukalapak penipu pun masih aktif. apa tanggung jawab BL jika pembeli terkena tipu di BL . apa ini semua salah dari pembeli ? apa semua penjual di BL itu rata2 seperti si penipu.saya sangat kapok berbelanja di BL,Negatif
40,Min apl error tuh dah log in dari 200 tahun lalu juga masih disuruh log in untuk lihat transaksi kode pembayaran benahin lah masak 5 sampe 6 digit top up dana kode pembacayaran sampe 245rb belanja kode sampe 79rb makin ngaco ini dah email BL dah ditutup lagi ada kendala suruh keforum katanya biar jadi pengguna yang cerdas saya mau laporan min bukan ngrumpi,Negatif
41,Saya tidak melakukan transaksi di bukamart saldo buka dompet saya malah terpotong 12000 karena ada notif transaksi sedang di proses saya minta untuk dibatalkan(karena saya merasa tidak melakukan transaksi sama sekali di bukamart) malah ditolak dengan alasan barang sudah dikirim mohon penjelasannya,Negatif
42,Banyak disini pelapak sifat nya menipu dengan alasan gambar postingan pelapak menggiurkan perbelanja setelah melakukan transaksi si konsumen kecewa dengan barang yang di terima tidak sesuai yg di Posting terhadap pelapak. Konsumen sangat di rugikan apa bila barang di kembali kn di kenakan biaya Ongkos kirim lagi. Disini pihak Buka Lapak harus lebih jeli lagi merekrut pelapak-pelapak yg berdagang di Situs ini. Harap di saring Pelapak yg tidak jelas,Negatif
43,ikut serbu emas tapi uang bukannya di kembalikan ke buka dompet malah ke buka emasgak semua orang mau apalagi ikhlas loh duitnya ilang gitu aja! harusnya ada konfirmasi antara mau di kembalikan ke buka dompet atau buka emasbiar gak terkesan maksa yang sama artinya gak berkah nyimpen duit orang.meski cuma Rp.8000 kalau di kali jutaan orang yang ikut serbu emas akan berapa banyak uang yg bukalapak ambil tanpa keikhlasan dari pemilik uangnya?,Negatif
44,"Beli celana sudah saya bayar kenapa tidak bisa terkonfirmasi otomatis , padahal saya transfer sama sampai digit angka terakhir , sudah upload bukti pembayaran pula lagi . Lama lama payah bukalapak . Dulu pernah beli pulsa 50000 . Tapi memang saya lupa transfer gak sampai digit angka terakhir . Tpi pihak buka lapak saya email gak ada balasan apa2 .",Negatif
45," Bnyk penipuan di aplikasi ini,harap hati",Negatif
46,SAYA KECEWA DENGAN BUKALAPAK,Negatif
47,"Tolong konfirmasi pembayaran di buka lapak diperbaiki, saya sudah melakukan pembayaran dan berhasil uang saya sudah masuk le rekening BRI pihak buka lapak namun tidak ada konfirmasi sampai pembayaran kadaluarsa dan tidak ada pengembalian, bagaimana kelanjutannya dari buka lapak ?",Negatif
48,"Dapet gratis ongkir, tapi ongkir tinggi. Katanya voucher 1Rp tapi pas dipake ""kuota voucher hari ini telah habis"" maksudnya apa coba??!",Negatif
49,"tolong buka dompet saya yang dibekukan diaktifkan lagi,,saya ini pembeli bukan penjual!!",Negatif
50,Gila bukalapak eror terus,Negatif
51,banyak akun PALSU,Negatif
52,"sampai hari ini gak ada tanggapan bagaimana tindha lanjut dari voucher yang tidak bisa dipakai saat saya isi pulsa. Minta dikirim bukti pembayaran ,sudah saya kirim, tapi tak ada tanggapan sama skali sampai skarang. Sungguh mengecewaka",Negatif
53,"Lebih dari 24jam barang tidak bergerak sama sekali. Giliran buka fitur ""BukaBantuan"" CSnya cuma nampilin status barang yang sebenarnya yang punya resipun juga bisa cek, dan mengarahkan ke ekspedisi.",Negatif
54,"aplikasi apaan ini error mulu, bikin kesel !! RAM gua udh 8GB. masa eror mulu udh update tetep sama ! ",Negatif
55,"Sekarang saya tiap belanja tidak bisa memasukan kode voucher,",Negatif
56,Aplikasi buka maling ni jangan di Download ntr nyesel.. Saya ngisi pulsa tidak masuk dan uang tidak kembali.,Negatif
57,"Ada kendala pembelian, si pelapak penipu dan saya membatalkan pembelian. Itu uang kapan kembali, sudah 4 hari jawaban cs hanya itu aja, malah kaya gw yang ngemis minta uang gw kembali. Itu manusia apa jin, parah amat kelakuan.",Negatif
58,Kenapa saya gak bisa daftar no telepon di aplikasi ini sehingga tidak dapat kode verifikasi nya.,Negatif
59,"hati2 buka lapak banyak penipu. saya rugi besar,pihak buka lapak ga bertanggung jawab,baru aplikasi kaya gini ,pihak buka lapak ga bertanggung jawab .",Negatif
60,aplikasinya EROR terooossss,Negatif
60,bukalapak jelek,Negatif
